10;20;0.00116;0.001395;0.001085;0.001085;0.001375;0.001085;0.001095
100;20;0.00116;0.001485;0.00111;0.00111;0.001385;0.00111;0.001355
1000;20;0.00124;0.00763;0.001115;0.001115;0.00453;0.001095;0.004895
5000;20;0.001305;0.04583;0.001105;0.001105;0.01037;0.001125;0.053915
10000;20;0.00126;0.047905;0.00109;0.00109;0.024075;0.001075;0.06534
50000;20;0.00121;0.211715;0.00107;0.00107;0.237395;0.00106;0.28777
100000;20;0.001255;0.441385;0.0011;0.0011;0.426895;0.001065;0.60715
300000;20;0.001255;1.20485;0.001085;0.001085;1.49684;0.0011;1.96148
600000;20;0.00126;2.1787;0.001145;0.001145;3.38802;0.00125;5.49263
1000000;20;0.0012;4.8724;0.00117;0.00117;3.86764;0.001165;7.73693
2000000;20;0.00123;9.40584;0.001215;0.001215;10.7616;0.001225;15.6056
3000000;20;0.00123;15.4344;0.0012;0.0012;13.4303;0.00114;24.8657
4000000;20;0.001165;16.9987;0.001165;0.001165;15.6276;0.00115;28.6962
5000000;20;0.001195;21.737;0.0011;0.0011;22.5764;0.00112;35.9308
7500000;20;0.00118;31.4518;0.00119;0.00119;30.8586;0.001195;55.3692
10000000;20;0.001215;42.7113;0.00125;0.00125;38.4916;0.001165;75.6657
20000000;20;0.001265;90.2361;0.001195;0.001195;83.1464;0.00122;149.879
30000000;20;0.001215;144.754;0.00125;0.00125;150.761;0.00131;225.058
40000000;20;0.001235;171.531;0.00122;0.00122;170.405;0.001195;296.88
50000000;20;0.00126;206.622;0.001255;0.001255;186.933;0.001195;358.739
