10;20;0.001215;0.0012;0.001025
100;20;0.0012;0.00117;0.001025
1000;20;0.001495;0.00123;0.00123
5000;20;0.002345;0.00193;0.002295
10000;20;0.00277;0.002515;0.00348
50000;20;0.01147;0.00993;0.013435
100000;20;0.02558;0.018555;0.02754
300000;20;0.275535;0.273625;0.08267
600000;20;0.69544;0.67739;0.20767
1000000;20;1.1441;1.0277;0.329865
2000000;20;2.19142;2.17261;0.73384
3000000;20;3.57364;3.16509;1.07591
4000000;20;4.52866;4.35184;1.43823
5000000;20;5.9086;5.57057;1.83872
7500000;20;8.39677;8.18048;2.69227
10000000;20;11.2929;11.3695;3.5728
20000000;20;22.6378;23.0403;7.26314
30000000;20;33.0351;35.8817;11.0099
40000000;20;45.3195;50.3838;14.916
50000000;20;55.8407;62.0097;18.106
