10;20;0.00122;0.001185;0.001135;0.001135;0.001165;0.001135;0.00101
100;20;0.001255;0.001275;0.001235;0.001235;0.001925;0.00123;0.0011
1000;20;0.001465;0.001325;0.001325;0.001325;0.00138;0.00127;0.00141
5000;20;0.007195;0.005225;0.00171;0.00171;0.00177;0.001795;0.00261
10000;20;0.01775;0.01667;0.018;0.018;0.01703;0.017365;0.004275
50000;20;0.056515;0.00927;0.00885;0.00885;0.008735;0.0086;0.01715
100000;20;0.11384;0.017675;0.01614;0.01614;0.016035;0.01584;0.03396
300000;20;0.324425;0.31655;0.28931;0.28931;0.28765;0.286355;0.09982
600000;20;0.62899;0.637725;0.56737;0.56737;0.566305;0.55132;0.216545
1000000;20;1.01368;1.01498;0.97303;0.97303;0.960775;0.991105;0.392055
2000000;20;2.12939;2.12148;2.02808;2.02808;2.03978;2.0389;0.82711
3000000;20;3.70498;3.31021;3.22682;3.22682;3.18105;3.17192;1.24733
4000000;20;4.5602;4.22444;4.23606;4.23606;4.31183;4.22577;1.63814
5000000;20;5.79974;5.60718;5.45003;5.45003;5.45409;5.48258;2.0281
7500000;20;8.66915;8.24079;8.25693;8.25693;8.27818;8.21879;3.04521
10000000;20;11.4909;11.1804;11.2131;11.2131;11.1963;11.1808;4.07453
20000000;20;20.2453;19.7521;19.943;19.943;22.8674;20.092;8.16514
30000000;20;29.6628;29.7592;30.0327;30.0327;32.7297;30.2909;12.3305
40000000;20;39.6457;41.6602;40.0907;40.0907;47.3501;40.9288;16.5905
50000000;20;49.01;50.5603;51.9328;51.9328;56.6833;50.554;20.6473
25;19.3733
