1000;20;0.00111;0.002245;0.001065
5000;20;0.00113;0.002355;0.00107
10000;20;0.00118;0.002495;0.00112
50000;20;0.00122;0.002935;0.00121
100000;20;0.00128;0.00295;0.00125
300000;20;0.00153;0.00323;0.0014
600000;20;0.0016;0.0034;0.001525
1000000;20;0.00175;0.00371;0.001735
1500000;20;0.001865;0.00368;0.001795
2000000;20;0.00183;0.003505;0.001705
2500000;20;0.001835;0.003635;0.001755
3000000;20;0.001905;0.003675;0.001775
4000000;20;0.00201;0.003805;0.00198
5000000;20;0.002175;0.004095;0.002045
7000000;20;0.0022;0.004185;0.002105
